velocity,stopping
0.12355678941438332,0.019831254762062763
0.24818643488648842,0.05138708667292748
0.4980618679617136,0.1127326890096569
0.747985254962165,0.17777017232544684
0.9980277086099719,0.23134365657649267
1.4984421855525711,0.25763201007182
9.999934234777978,0.016625528075249307
12.99995279864931,0.010189803466672672
1.9989497905179785,0.21677475818632724
2.9995066682865574,0.1310294016060063
3.9997144635454362,0.0842978768925198
4.999904915966818,0.05794392419312831
7.499901494823364,0.02814266272348
0.12360196141354987,0.019964875168968846
0.24849548660295293,0.04465723136671246
0.4985894248195539,0.08466204279826754
0.7487408018455465,0.11367883158122968
0.9988758111071832,0.1306507888914023
1.4991993067337157,0.15634431608653818
9.999994013151813,0.00997037294015323
12.99999696914118,0.006542870766223401
1.9995454810460924,0.13143305448130524
2.999838430666991,0.07490281255972409
3.9999258234144306,0.04721036271551479
4.999959870410532,0.03243469657517371
7.499986885384916,0.0161742083266606
0.7480604703675945,0.18212347985978558
0.9980920043743863,0.23553066131902597
1.498601990107627,0.2711552188818045
9.99999333551567,0.025361782636952962
12.999998026196177,0.019631234697880744
1.9991835144225774,0.22900311990922986
2.9997026090595114,0.1374280573427166
3.999866089692505,0.08973347035237651
4.999930542198732,0.06415177503113553
7.4999808151055305,0.03619337120670622
